Date,Open,High,Low,Close,Adj Close,Volume
2016-05-05,17.365000,17.605000,17.270000,17.302000,17.302000,421
2016-05-06,17.340000,17.590000,17.334999,17.507000,17.507000,242
2016-05-08,null,null,null,null,null,null
2016-05-09,17.469999,17.475000,16.959999,17.070000,17.070000,128
2016-05-10,16.969999,17.129999,16.959999,17.075001,17.075001,368
2016-05-11,17.235001,17.575001,17.230000,17.302000,17.302000,190
2016-05-12,17.320000,17.320000,17.087000,17.087000,17.087000,58
2016-05-13,17.155001,17.180000,16.985001,17.115000,17.115000,36
2016-05-15,null,null,null,null,null,null
2016-05-16,17.219999,17.219999,17.142000,17.142000,17.142000,54
2016-05-17,17.320000,17.320000,17.235001,17.235001,17.235001,30
2016-05-18,17.145000,17.145000,16.799999,17.120001,17.120001,65
2016-05-19,16.910000,16.910000,16.415001,16.479000,16.479000,78
2016-05-20,16.465000,16.518999,16.465000,16.518999,16.518999,80
2016-05-22,null,null,null,null,null,null
2016-05-23,16.320000,16.434999,16.320000,16.410000,16.410000,2
2016-05-24,16.320000,16.320000,16.238001,16.238001,16.238001,23
2016-05-25,16.245001,16.334999,16.245001,16.254999,16.254999,10
2016-05-26,16.285000,16.455000,16.280001,16.337999,16.337999,205
2016-05-27,16.295000,16.325001,16.174999,16.246000,16.246000,197
2016-05-29,null,null,null,null,null,null
2016-05-31,16.010000,16.105000,15.960000,15.972000,15.972000,400
2016-06-01,16.000000,16.000000,15.906000,15.906000,15.906000,80
2016-06-02,16.025000,16.025000,16.004999,16.004999,16.004999,7
2016-06-03,16.350000,16.430000,16.344999,16.346001,16.346001,2
2016-06-05,null,null,null,null,null,null
2016-06-06,16.427999,16.427999,16.427999,16.427999,16.427999,7
2016-06-07,16.377001,16.377001,16.377001,16.377001,16.377001,0
2016-06-08,16.549999,17.049999,16.549999,16.968000,16.968000,10
2016-06-09,17.129999,17.253000,16.980000,17.253000,17.253000,10
2016-06-10,17.315001,17.315001,17.315001,17.315001,17.315001,25
2016-06-12,null,null,null,null,null,null
2016-06-13,17.427999,17.427999,17.427999,17.427999,17.427999,0
2016-06-14,17.410000,17.410000,17.410000,17.410000,17.410000,0
2016-06-15,17.490000,17.490000,17.489000,17.489000,17.489000,1
2016-06-16,17.700001,17.700001,17.254999,17.594000,17.594000,1
2016-06-17,17.420000,17.455000,17.400000,17.400000,17.400000,10
2016-06-19,null,null,null,null,null,null
2016-06-20,17.445000,17.503000,17.445000,17.503000,17.503000,2
2016-06-21,17.311001,17.311001,17.311001,17.311001,17.311001,3
2016-06-22,17.230000,17.305000,17.230000,17.305000,17.305000,80
2016-06-23,17.348000,17.348000,17.348000,17.348000,17.348000,3
2016-06-24,17.215000,17.825001,17.215000,17.785000,17.785000,34
2016-06-26,null,null,null,null,null,null
2016-06-27,17.865000,17.865000,17.740000,17.740000,17.740000,64
2016-06-28,17.839001,17.839001,17.839001,17.839001,17.839001,1
2016-06-29,17.799999,18.514999,17.799999,18.362000,18.362000,61138
2016-06-30,18.315001,18.855000,18.245001,18.582001,18.582001,26073
2016-07-01,18.790001,19.924999,18.775000,19.544001,19.544001,1444
2016-07-03,null,null,null,null,null,null
2016-07-05,19.754999,21.094999,19.625000,19.865999,19.865999,1083
2016-07-06,20.330000,20.495001,19.945000,20.160000,20.160000,948
2016-07-07,20.139999,20.219999,19.530001,19.798000,19.798000,407
2016-07-08,19.735001,20.209999,19.400000,20.058001,20.058001,536
2016-07-10,null,null,null,null,null,null
2016-07-11,20.370001,20.605000,20.215000,20.264000,20.264000,384
2016-07-12,20.410000,20.465000,20.100000,20.129999,20.129999,138
2016-07-13,20.385000,20.420000,20.195000,20.370001,20.370001,141
2016-07-14,20.440001,20.440001,20.084999,20.281000,20.281000,86
2016-07-15,20.230000,20.230000,20.080000,20.125000,20.125000,115
2016-07-17,null,null,null,null,null,null
2016-07-18,20.025000,20.094999,19.745001,20.044001,20.044001,93
2016-07-19,19.959999,20.010000,19.920000,19.975000,19.975000,301
2016-07-20,19.625000,19.625000,19.410000,19.582001,19.582001,46
2016-07-21,19.375000,19.784000,19.325001,19.784000,19.784000,136
2016-07-22,19.790001,19.795000,19.657000,19.657000,19.657000,28
2016-07-24,null,null,null,null,null,null
2016-07-25,19.500000,19.665001,19.400000,19.615000,19.615000,75
2016-07-26,19.674999,19.684999,19.590000,19.655001,19.655001,122
2016-07-27,19.965000,19.965000,19.965000,19.965000,19.965000,171
2016-07-28,20.290001,20.500000,20.160000,20.160000,20.160000,124
2016-07-29,20.200001,20.312000,20.070000,20.312000,20.312000,23
2016-07-31,null,null,null,null,null,null
2016-08-01,20.495001,20.655001,20.465000,20.465000,20.465000,90
2016-08-02,20.405001,20.750000,20.405001,20.666000,20.666000,19
2016-08-03,20.625000,20.645000,20.405001,20.436001,20.436001,32
2016-08-04,20.395000,20.420000,20.100000,20.406000,20.406000,22
2016-08-05,20.270000,20.270000,19.780001,19.780001,19.780001,28
2016-08-07,null,null,null,null,null,null
2016-08-08,19.690001,19.840000,19.690001,19.768000,19.768000,10
2016-08-09,19.813999,19.813999,19.813999,19.813999,19.813999,29
2016-08-10,20.195000,20.355000,20.134001,20.134001,20.134001,9
2016-08-11,19.983999,19.983999,19.983999,19.983999,19.983999,10
2016-08-12,19.672001,19.730000,19.672001,19.672001,19.672001,0
2016-08-14,null,null,null,null,null,null
2016-08-15,19.820999,19.820999,19.820999,19.820999,19.820999,10
2016-08-16,19.950001,20.065001,19.848000,19.848000,19.848000,1
2016-08-17,19.627001,19.695000,19.627001,19.627001,19.627001,27
2016-08-18,19.830000,19.850000,19.719999,19.719999,19.719999,1
2016-08-19,19.365000,19.365000,19.301001,19.301001,19.301001,12
2016-08-21,null,null,null,null,null,null
2016-08-22,18.855000,18.950001,18.843000,18.843000,18.843000,2
2016-08-23,18.924999,18.924999,18.910000,18.910000,18.910000,24
